attribute,group,n,roc_auc,average_precision,false_positive_rate,false_negative_rate,predicted_default_rate,actual_default_rate,false_positives,false_negatives,true_positives,true_negatives,equalized_odds_gap,operating_threshold,threshold_policy,cost_minimizing_threshold,f1_optimal_threshold,no_gender_auc,auc_degradation_without_gender
ORGANIZATION_TYPE,Industry: type 9,648,0.8170906080674293,0.32187640560358294,0.08609271523178808,0.6136363636363636,0.10648148148148148,0.06790123456790123,52,27,17,552,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Insurance,121,0.6428571428571428,0.21728930352348072,0.05263157894736842,0.8571428571428571,0.05785123966942149,0.05785123966942149,6,6,1,108,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Kindergarten,1328,0.7939057917888562,0.25356175342377163,0.09112903225806451,0.5909090909090909,0.11219879518072289,0.06626506024096386,113,52,36,1127,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Legal Services,55,0.8782051282051282,0.2409090909090909,0.21153846153846154,0.0,0.2545454545454545,0.05454545454545454,11,0,3,41,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Medicine,2208,0.7565999110578603,0.24745022374097306,0.08088589311506982,0.6183206106870229,0.09873188405797101,0.059329710144927536,168,81,50,1909,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Military,521,0.7544437129690585,0.18624671206973398,0.04897959183673469,0.8064516129032258,0.05758157389635317,0.05950095969289827,24,25,6,466,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Mobile,67,0.6970338983050848,0.29065894675581605,0.2033898305084746,0.875,0.19402985074626866,0.11940298507462686,12,7,1,47,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Other,3376,0.7649411781098039,0.2618572711369616,0.10877985797288574,0.5971223021582733,0.13299763033175355,0.08234597156398105,337,166,112,2761,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Police,480,0.7531428571428571,0.1594749450503397,0.03296703296703297,0.8,0.041666666666666664,0.052083333333333336,15,20,5,440,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Postal,419,0.7736516357206012,0.2756774692025877,0.10344827586206896,0.6428571428571429,0.1288782816229117,0.10023866348448687,39,27,15,338,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Realtor,72,0.5432835820895522,0.10217086834733893,0.16417910447761194,0.8,0.16666666666666666,0.06944444444444445,11,4,1,56,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Religion,16,0.6666666666666667,0.16666666666666666,0.06666666666666667,1.0,0.0625,0.0625,1,1,0,14,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Restaurant,369,0.723916083916084,0.2977702645284627,0.19692307692307692,0.5227272727272727,0.23035230352303523,0.11924119241192412,64,23,21,261,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,School,1714,0.8016446737113911,0.2685522892731161,0.06285003111387678,0.6355140186915887,0.08168028004667445,0.062427071178529754,101,68,39,1506,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
ORGANIZATION_TYPE,Security,640,0.7543389830508475,0.2157534567447312,0.18305084745762712,0.46,0.2109375,0.078125,108,23,27,482,1.3571428571428572,0.66,f1_optimal_threshold,0.53,0.66,0.7736520139187906,0.0009786464856387234
